eval_set,sample_id,relative_l2_error,run_id,config_hash,claim
val,324,0.02231672592461109,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,329,0.007032707799226046,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,333,0.0064003728330135345,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,348,0.005044203717261553,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,349,0.009368037804961205,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,358,0.011868043802678585,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,359,0.012121522799134254,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,368,0.011576695367693901,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,369,0.004909655544906855,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,376,0.017719803377985954,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,378,0.02209930494427681,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,379,0.012216742150485516,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,399,0.006974465679377317,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,401,0.010663158260285854,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,412,0.01689392887055874,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,413,0.0070467181503772736,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,415,0.00817753653973341,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,417,0.005158303305506706,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,422,0.010722295381128788,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,439,0.01375875435769558,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,442,0.012325704097747803,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,483,0.015009528957307339,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,486,0.005269247572869062,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,492,0.005642520263791084,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,501,0.006513470318168402,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,520,0.005752431228756905,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,521,0.020119303837418556,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,523,0.008809213526546955,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,548,0.007808942813426256,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,553,0.017181452363729477,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,554,0.01658541150391102,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,565,0.024097641929984093,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,567,0.017631659284234047,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,570,0.010122904554009438,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,574,0.055533040314912796,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,583,0.07908458262681961,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,587,0.022325370460748672,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,624,0.02868700586259365,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,632,0.005353386048227549,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,633,0.03870305418968201,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,636,0.0082011753693223,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,645,0.015018153935670853,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,656,0.007235371973365545,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,660,0.006231938023120165,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,678,0.013632395304739475,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,691,0.006219083908945322,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,692,0.006951000541448593,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,697,0.012818201445043087,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,724,0.01555844210088253,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,744,0.008492317982017994,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,758,0.01338158082216978,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,764,0.00886737834662199,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,773,0.016159402206540108,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,782,0.011800229549407959,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,784,0.005083451513200998,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,785,0.01515432633459568,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,790,0.008627690374851227,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,804,0.016755083575844765,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,808,0.015444885939359665,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,811,0.008459758944809437,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,819,0.020345639437437057,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,828,0.009297167882323265,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,841,0.019148588180541992,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,853,0.012822306714951992,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,858,0.018901031464338303,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,862,0.012540517374873161,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,870,0.007603783160448074,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,871,0.01184170600026846,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,877,0.00936934258788824,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,881,0.010120547376573086,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,913,0.00798606313765049,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,917,0.009373732842504978,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,947,0.009213138371706009,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,985,0.006408895365893841,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,986,0.008912921883165836,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,988,0.03772171959280968,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,992,0.0075308033265173435,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,996,0.012399946339428425,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,998,0.008736671879887581,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1025,0.009272677823901176,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1026,0.01206168532371521,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1033,0.012458673678338528,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1034,0.02258773148059845,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1039,0.01731960102915764,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1042,0.007855832576751709,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1045,0.015103627927601337,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1047,0.007089846767485142,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1048,0.015357420779764652,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1062,0.017508601769804955,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1064,0.0076497080735862255,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1074,0.010193484835326672,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1078,0.019269973039627075,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1079,0.006535773165524006,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1084,0.011416694149374962,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1087,0.010354305617511272,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1103,0.0147905508056283,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1110,0.01298411376774311,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1118,0.008022007532417774,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1119,0.029430396854877472,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1121,0.009777743369340897,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1126,0.007916840724647045,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1134,0.035826098173856735,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1165,0.015360097400844097,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1168,0.04796705022454262,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1172,0.03257019817829132,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1174,0.00790419988334179,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1175,0.009063254110515118,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1177,0.009270631708204746,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1179,0.012857037596404552,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1180,0.009196851402521133,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1187,0.006958832498639822,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1194,0.04873349145054817,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1214,0.010073238983750343,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1231,0.007476230151951313,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1254,0.013529432937502861,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1263,0.01085330918431282,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1266,0.015412572771310806,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
val,1270,0.01729545369744301,phase2_eval_fbb30bb4fc_s42,fbb30bb4fc,claim1
