epoch,train_mse_normalized,val_mse_normalized
1,1.0231958397108394,0.9254876901937086
2,0.8141229026202998,0.7568769498986846
3,0.7211380392697324,0.7026307329270485
4,0.6674075731778341,0.6368785906588167
5,0.5869980789153265,0.5596908442625106
6,0.5195605674843715,0.5079811181154525
7,0.46710991324880896,0.4620697747013964
8,0.4290247115482339,0.43414326181326945
9,0.40370039891665593,0.4119820114933515
10,0.3824055450952067,0.3960785370029601
11,0.36692975833575303,0.3841320277891146
12,0.3542280613258044,0.37587223512855666
13,0.34334457570475124,0.3718019865769205
14,0.3341841939116139,0.3673901495953102
15,0.32731215605143227,0.36881489666476946
16,0.32045977650885005,0.37029452261128926
17,0.3147285083114472,0.3733721028926761
18,0.30952316036956673,0.3777235792860613
19,0.30384551021865497,0.37876434927926017
20,0.2989566447027683,0.38200149779932935
21,0.29462594719732493,0.38938871323654656
22,0.2892852814088533,0.39249315967964243
23,0.284759967401187,0.399311377517828
24,0.28062812367329704,0.3989712289762562
25,0.276256077192453,0.4036171060417321
26,0.2728637267179254,0.40917697887251053
27,0.2692442541944184,0.41481941436938485
28,0.2658947504978247,0.4199220295154608
29,0.26240135137109655,0.4159896014979372
30,0.2599153378923781,0.42227668609730035
31,0.2567362955139223,0.4247613303801593
32,0.25355506186119137,0.42836056590569493
33,0.25114225193526235,0.43074907185114847
34,0.24897357849415133,0.4354444599510381
35,0.24722672204060125,0.43758701291521335
36,0.24492380992538904,0.44346183310129084
37,0.24273385242029483,0.44631034413049386
38,0.2410233439866711,0.4466711714068777
39,0.23976198046665817,0.4485180695960362
40,0.23770419750166108,0.4499881725793987
41,0.235598110335094,0.4577865142339558
42,0.23407529893681703,0.45546976673619366
43,0.2327311905614097,0.4580767872232419
44,0.23130846832379925,0.45962515787289016
45,0.23017137854907047,0.46394658700222846
46,0.2284528106835355,0.46651775696698355
47,0.22696725646817809,0.4704000045597635
48,0.2256431505695457,0.4711355247347528
49,0.22472557783615965,0.4688177036195382
50,0.2242493116387449,0.47228446517205924
51,0.2230778105059095,0.47740660450853173
52,0.2216198535729964,0.4729833400689789
53,0.2206455659544901,0.47906782811382725
54,0.21979883804061348,0.47741767694783765
55,0.2189514703900146,0.4778282448302868
56,0.21740686827080472,0.4835304434420146
57,0.2162107192722323,0.48806500720260243
58,0.2157599023714714,0.4880736833884191
59,0.2150525715887756,0.48849928607366644
60,0.21411282108858629,0.4858849500337802
