epoch,train_mse_normalized,val_mse_normalized
1,0.5993256101655026,0.2810099654727512
2,0.16503514508406322,0.09720862368742625
3,0.07349482473205117,0.05624339146746529
4,0.04804584218883047,0.04134822390145726
5,0.036077129776571314,0.03309125261174308
6,0.029072715792001463,0.028081096907456717
7,0.025287543488483805,0.026091871162255604
8,0.026195797151794622,0.027517083568705452
9,0.020224302311738333,0.02139586259921392
10,0.017787555226070038,0.01874082401394844
11,0.01650385874013106,0.018606453206804062
12,0.01670064903284405,0.01959480213622252
13,0.018261756908659842,0.018016534050305684
14,0.014610361582508275,0.016571816462609502
15,0.0126911000191581,0.015262499045994547
16,0.012961612466503592,0.015171140473749902
17,0.01273613926680649,0.015470073802603616
18,0.014192370484564818,0.014960745854510201
19,0.013049029609298005,0.01619848152001699
20,0.011618241908065244,0.01425654446085294
21,0.010614547460686926,0.013538721294866668
22,0.010311804279392841,0.014326714012357925
23,0.010239563490830215,0.015295914072129461
24,0.010790998769887521,0.013405959688954883
25,0.013667791521578442,0.01650962523288197
26,0.011233889489051173,0.013342511852582296
27,0.011011294220738552,0.014096334750453632
28,0.010416008227450006,0.01348307198120488
29,0.010158660332215767,0.01416020794875092
30,0.01057628293905188,0.012605312963326771
31,0.010645831580839905,0.012446287671724955
32,0.009541899709432733,0.013446921706199646
33,0.010661220866091111,0.012540537218252818
34,0.009084993361988489,0.011738641762899028
35,0.008553093244485995,0.011858897689316007
36,0.008758151812442378,0.012120381212896771
37,0.009472081380731918,0.012874614852997991
38,0.009806256598117305,0.013103226439820396
39,0.009794351693754103,0.01319581900205877
40,0.010484759684140775,0.01251198040942351
41,0.009525806179233626,0.01563311138914691
42,0.010098400046574134,0.014538401257660654
43,0.011176211232794267,0.012353334890471565
44,0.008518853046584363,0.010820079983936417
45,0.008290596266149306,0.012237265681227048
46,0.00825891389054995,0.010338670093980101
47,0.0075957983162473226,0.011734243176049656
48,0.0076549359973447,0.01028868951731258
49,0.008613063790196298,0.011200023475620482
50,0.011479019735227613,0.012875394746661186
51,0.010111097742383387,0.014254525353511174
52,0.010467691165121163,0.0118570056433479
53,0.007894564062795218,0.010245565548539162
54,0.007102884997924169,0.009679774592320124
55,0.006709540820150983,0.009811826927794351
56,0.006937012797696334,0.009851701859798697
57,0.006576265648518707,0.009432800420456463
58,0.006493408446948902,0.009634271967742178
59,0.00647686903091038,0.009456068492598004
60,0.007381654588834328,0.010607410420974095
