epoch,train_mse_normalized,val_mse_normalized
1,0.2252302628288082,0.007669024277064535
2,0.004576515500415481,0.0033003094357748827
3,0.0024113229249476216,0.0021850078646093608
4,0.0015491513358246462,0.001428600319971641
5,0.0011101436708122491,0.0010486289310372538
6,0.0008476543356207948,0.0010150096632747187
7,0.0006166248055467126,0.0007609157057272063
8,0.0005416870723231969,0.0008244976799728142
9,0.0005387262284627879,0.00046898656990379095
10,0.0004508373513817787,0.0005895029339525434
11,0.00032138018412332907,0.00035638575649095904
12,0.0002413212882318333,0.00033211842308648756
13,0.00027007931543231086,0.0005033540761926108
14,0.0002238550291775598,0.00036758831857393185
15,0.00044811989975107066,0.00117261523898277
16,0.0003762862227592325,0.00035898020413393774
17,0.00018720925704566945,0.00026202163943606945
18,0.00015572031124440187,0.0002284529859510561
19,0.0003430214012041688,0.0003423319033916212
20,0.00021461960747746713,0.0002335223736655381
21,0.00012672066484240122,0.00022178191820987396
22,0.00012147113487955329,0.00019993615181495745
23,0.0005048828988390811,0.0019814299383304184
24,0.0006038589508834241,0.0002444135694531724
25,0.00012137723260321746,0.00018303280398767027
26,9.590689686935066e-05,0.0001698121812660247
27,9.354769420586344e-05,0.00016202395536108976
28,8.65214269701848e-05,0.00017225901428092686
29,0.00011216504612878221,0.000163189892967542
30,9.410107517432348e-05,0.0004711097722045249
31,0.0004647224860530639,0.0005556018953211606
32,0.00020657879157179017,0.00017922961347115537
33,0.00012263568816135874,0.0001790631497796211
34,9.718801168263799e-05,0.00015029887164322037
35,0.00016120910517843987,0.0001487689951641692
36,0.00011629494174164446,0.00024172174278646707
37,0.00023925498090273536,0.00018106044955655103
38,0.00010813191418956015,0.00023068417232328405
39,9.281545690279088e-05,0.00014420071771989267
40,7.640008418021869e-05,0.00015394915386827455
41,8.293459330589565e-05,0.00016883600658426683
42,0.00011095684668272916,0.00013516605010307912
43,9.672563690829145e-05,0.0001837986518835856
44,0.0007212729135747341,0.0015736667982613048
45,0.0008270104851701534,0.00046443465114053754
46,0.0001859591947126604,0.00016932432940747175
47,8.089262235444039e-05,0.0001266746750075577
48,6.62443999203342e-05,0.0001133524031481809
49,6.46582337132856e-05,0.000144123550853692
50,0.0002843112549881506,0.00018595334026031196
51,8.27031596803435e-05,0.00011718407008124309
52,4.9788907476171267e-05,0.00012609841411985044
53,4.9300390146170544e-05,0.00011070907704480406
54,5.431259815083524e-05,0.00012981879790054842
55,0.0001057966653253043,0.00011705648309240738
56,7.0656447354065e-05,0.00011378435405074722
57,6.033612565849634e-05,0.00012159181901046799
58,6.758272429864269e-05,0.00011309618207936485
59,9.623003577443717e-05,0.00012724094894818133
60,7.72655054506864e-05,0.0002143222207410468
61,0.00024310817092876224,0.0001690614057911767
62,0.0002815838392901545,0.000440157461238818
63,0.00032625377713474353,0.00016648427790237798
64,0.0001353182915230647,0.00013710446810970704
65,7.762943619323493e-05,0.000169241925339318
66,0.0001229033646557261,0.00024222884922184878
67,0.0001230101063721996,0.0001375787327803361
68,0.00011369519731755752,0.00011803432594105187
69,6.302356676314958e-05,0.00010922156132033302
70,5.249144731137409e-05,0.0001439302840218362
71,7.797241021191938e-05,9.431144516889213e-05
72,0.00015511868150069324,0.00016031959844339225
73,7.538159182135417e-05,0.00012776729844820995
74,0.00011923743338283042,0.00030097631168448264
75,0.0002027027728720842,0.00016204213141463698
76,6.794356491631262e-05,0.00011016603843826387
77,4.811517056248918e-05,8.355994902861615e-05
78,3.8299146034143064e-05,7.787365194720526e-05
79,0.00010006407431016366,0.00026894415457112095
80,0.00043118444641175515,0.0001700477547840112
