epoch,train_mse_normalized,val_mse_normalized
1,0.3030562080004636,0.1362894524468316
2,0.11314198829379736,0.10516883760690689
3,0.09882584002672458,0.10325039370192422
4,0.09244242929360445,0.09758155279689365
5,0.08862114689513749,0.0938166305091646
6,0.08731255586240806,0.09869743876987033
7,0.08416538205216913,0.0939267835021019
8,0.08111137287873847,0.09754539138740963
9,0.0790073581419739,0.09536707328425513
10,0.07643338829863305,0.09603868292437659
11,0.07076003793992248,0.09962817056311501
12,0.06738251474558138,0.10100096318456862
13,0.056732556872508104,0.10631176253159841
14,0.04778915051443904,0.1163907555076811
15,0.03904762916705188,0.11178278704484304
16,0.02790965305093457,0.11962252550654941
17,0.021544098992850265,0.11480658140447404
18,0.01575863798605461,0.11284334861569935
19,0.011222857087120121,0.11361166404353248
20,0.008496350306360161,0.11443358090188768
21,0.006821085527247073,0.11409184419446522
22,0.005793877089505686,0.11458508862389459
23,0.005020039999017529,0.11475631594657898
24,0.0044333242515430735,0.11439857419994143
25,0.003836266994111094,0.11521674507194095
26,0.0036495512789663145,0.11411579383744133
27,0.0034385483790481206,0.11547138929367065
28,0.0037310143286252723,0.11591688579983181
29,0.0035852916363407583,0.11541407161288791
30,0.003118055404401293,0.11451625068982442
31,0.0027416651171869506,0.11427798204951817
32,0.0025779951761896705,0.11411572512653138
33,0.0025266627505348594,0.11467039598359002
34,0.002507198234180025,0.11458322359455957
35,0.0024829559902861424,0.1131717739171452
36,0.002737159296578052,0.11373643451266818
37,0.0028511568518611147,0.1128675502538681
38,0.0026783115124585583,0.11379590928554535
39,0.002381365075342211,0.1134872841835022
40,0.0019883410392475187,0.11406943331162135
41,0.001990264654342158,0.11392909076478747
42,0.0021161603290295486,0.11303929189840953
43,0.0019331122600637816,0.11307574994034238
44,0.001896698673200958,0.11298014101054933
45,0.002532994849424736,0.11272341668605805
46,0.002682335479002373,0.11307988954914941
47,0.002328142071434972,0.11382488207684623
48,0.0020216011274240765,0.11160050676928626
49,0.0016778849275307913,0.11341415872176488
50,0.0015420563466956511,0.11204183326827155
51,0.0014907859284065518,0.11257885462707944
52,0.001512389223858276,0.11139897141191694
53,0.0014750234371818164,0.11193899154663085
54,0.0016021799550884786,0.11266783409648472
55,0.001730508496071778,0.11240739259454939
56,0.0019148776111393875,0.112787806391716
57,0.001953469912667631,0.11217583345042334
58,0.0019527145365581793,0.11164386841985914
59,0.0018847302427771045,0.11195352097352346
60,0.0017559009766680937,0.11101711008283827
61,0.0020080691102125187,0.11199275616142484
62,0.0021784283310247988,0.11070694963137309
63,0.0021552661148940815,0.11226317624251048
64,0.001778131596305791,0.11152230504486296
65,0.0017086909922278102,0.11137075821558634
66,0.0015579301360811966,0.11079532709386614
67,0.0013608760174875167,0.11147042857276068
68,0.0012070469303494867,0.11029691023959054
69,0.001180044666626582,0.11072326143582661
70,0.001111288896634006,0.11040734287765291
71,0.0010970802955767689,0.11060195926162932
72,0.0011352545644302725,0.11057356695334117
73,0.0012529921508850712,0.11156625621848636
74,0.0017760361226129473,0.11059191736910079
75,0.001966326706038386,0.11245765388011933
76,0.002210389238544831,0.10996510214275784
77,0.002419500429658037,0.11059307548734877
78,0.0018337958191028414,0.11098247991667853
79,0.001434602372932668,0.11016996496253544
80,0.001275748078729592,0.10993271433644825
