epoch,train_mse_normalized,val_mse_normalized
1,0.0782997689841717,0.011755822988020049
2,0.011257244710828744,0.008929319712850783
3,0.010017899865759353,0.009060881518655353
4,0.009644340601402755,0.008447498999949959
5,0.009139720601047955,0.008456941008981731
6,0.009199481464776338,0.008893488364087212
7,0.009184527031200774,0.008433713043729463
8,0.009083913634805119,0.00956868764426973
9,0.009046800100774157,0.008761489783517188
10,0.009226449118087105,0.008508557660712136
11,0.009168111618389102,0.008603314831852914
12,0.008714576863190706,0.009006648146443896
13,0.008984192072176466,0.008452809084620741
14,0.008962502926588059,0.008586899133192168
15,0.00900652663307447,0.009073401954438952
16,0.009081702535497208,0.008550396102170149
17,0.00943732030908851,0.009084690651959843
18,0.009663002317150433,0.008788172002467844
19,0.008631121326310961,0.00868941752343542
20,0.008677742370933878,0.00848187876244386
21,0.008663082603438227,0.009860966114534271
22,0.008542367805014639,0.008539094564815362
23,0.00825917577261434,0.009191105949381988
24,0.008125607560516572,0.01000103275395102
25,0.00821034990141497,0.008824594878695077
26,0.008306616259117921,0.008940057376813557
27,0.007943734068642645,0.00905434680585232
28,0.007941502908646475,0.008635583114292886
29,0.00769817822046724,0.009223583544501
30,0.007374487246076266,0.00896136882611447
31,0.0072911584713295395,0.009148154766816232
32,0.006950686094807644,0.008597205628433989
33,0.006952442288690922,0.009504158703817262
34,0.006547337246730047,0.010408556448399192
35,0.006777375936508179,0.009519021088878313
36,0.006865584007373043,0.010574066198023502
37,0.005902225399280296,0.009133217200740344
38,0.006010033978039728,0.010169487388597595
39,0.005257952925475205,0.010222848155535758
40,0.005376100540526357,0.011411247507979472
