epoch,train_mse_normalized,val_mse_normalized
1,0.30226490780418996,0.16021393696467082
2,0.15365052517722635,0.1570092683368259
3,0.1527480796622295,0.16807304594251846
4,0.1520284379346698,0.15811994618839686
5,0.14843225529380874,0.1582951968246036
6,0.14708196247325225,0.15813520352045696
7,0.14622187268500234,0.15881147318416172
8,0.14242931238576478,0.16158174686961704
9,0.13904552967524997,0.1633254505528344
10,0.13697473077213063,0.16385184235042996
11,0.12459103446965124,0.17243544353379145
12,0.11011066702651043,0.19665726363658906
13,0.08936142363969017,0.19615446858935887
14,0.06647275458656106,0.19937615480687884
15,0.048262596779009875,0.20588867412673104
16,0.034338391618985754,0.1954791189564599
17,0.02564121343487618,0.20542998260921902
18,0.019966932079371284,0.19575974769062465
19,0.014661476630352291,0.19771088567045
20,0.011768045922850861,0.19637338042259217
21,0.010045931741010908,0.19653202401267159
22,0.008673889701272927,0.19817539983325536
23,0.007617471159673205,0.19868850111961364
24,0.007202267315530894,0.1983231050438351
25,0.006390716036160787,0.19679794523451064
26,0.005540272441564822,0.19559574193424648
27,0.004766812572511388,0.19688550048404269
28,0.004342117601932556,0.19833120226860046
29,0.00459515319881486,0.20059614817301433
30,0.00456266112954301,0.19749482022391426
31,0.004145331332715703,0.20100539571709103
32,0.0039001591087264175,0.19878737178113726
33,0.0038452251702912298,0.19806882467534806
34,0.003831716627613002,0.19504078653123644
35,0.004065160637757942,0.1967399385240343
36,0.00404751241061033,0.1967625053723653
37,0.003639804886142705,0.19688687476846906
38,0.003263490428125449,0.1980447283718321
39,0.0033855789143811253,0.199016565879186
40,0.003365244751832649,0.19726221495204502
41,0.003260187307810959,0.19625247610939875
42,0.003815679892751516,0.1964647396405538
43,0.0037035710065096033,0.19666719635327656
44,0.003309937777618567,0.1972664189338684
45,0.003042780955997752,0.19722539285818735
46,0.0030387777661649035,0.19947192980183495
47,0.003006277057141358,0.19499795966678196
48,0.002642625339110108,0.19647878130276997
49,0.0024533470541092694,0.1969840535852644
50,0.0023996479677803376,0.1949736976623535
51,0.002450367131033072,0.19459364374478658
52,0.002425224159789436,0.19743303146627214
53,0.0026404879028525422,0.1955587728155984
54,0.0025790945730884284,0.19733400411076016
55,0.0025693222820101416,0.19507018751568264
56,0.0025786902592973967,0.19488510522577498
57,0.0027865499084559725,0.19665348185433282
58,0.0031648892677370822,0.1942055673731698
59,0.0029365586443785945,0.1989898391564687
60,0.002579592398605218,0.19461038496759203
61,0.0023428595023156674,0.19424766103426616
62,0.002064023193373692,0.19514591223663755
63,0.0022376118536454204,0.19501676897207895
64,0.002289009586743572,0.19437086953057184
65,0.002133614235356742,0.19365082224210103
66,0.0021296660978274017,0.19602607938978406
67,0.0019956533641864857,0.19417002201080322
68,0.001870525233794515,0.19285007801320816
69,0.0018842294483500369,0.1930622985627916
70,0.0019160290966358255,0.1920431629816691
71,0.0020579705519747794,0.19639522274335225
72,0.0022640916394690673,0.1970761901802487
73,0.002660045252345941,0.1941357864273919
74,0.0027118926318179743,0.19234913170337678
75,0.002528755311470698,0.19154200673103333
76,0.002356179470890293,0.19490814334816403
77,0.0022593907633905903,0.19160131924682194
78,0.002023040607261161,0.19332107762495676
79,0.0019254027675910323,0.19264119545618694
80,0.002023230667828637,0.19483812159962124
