epoch,train_mse_normalized,val_mse_normalized
1,0.12436605760718093,0.011351224132813514
2,0.009653117621646208,0.007028768267288494
3,0.0057559171728059355,0.00513054538725151
4,0.00491886909612838,0.004592476192240914
5,0.004481959514794688,0.0048283982377163035
6,0.004471505612646248,0.0061864635006835065
7,0.004442236793830114,0.004217507151770406
8,0.004144452615257571,0.004156168758765691
9,0.004195709520512644,0.006577214378242691
10,0.003972363710111263,0.003976014853817308
11,0.003731225028853206,0.004395792021209167
12,0.0036846340407489563,0.004071730651064879
13,0.0036266231953221207,0.003742061552281181
14,0.004520195732075794,0.004428795747614156
15,0.003784615570752352,0.003834283605424894
16,0.0036694760578593203,0.005660953842517402
17,0.00410734554314438,0.005173086387933129
18,0.003465857012014763,0.003775587372171382
19,0.003604629857136923,0.004391394906366865
20,0.003466067750956498,0.003908757372086661
21,0.0035140030204738474,0.0037969641824666823
22,0.003415164953353358,0.004678248839659824
23,0.0036432685421816276,0.005396778329999911
24,0.0034634424789863473,0.003928320169345372
25,0.0036646489357100983,0.003941943809234847
26,0.003422424317538446,0.003901870901334203
27,0.0035801082586540897,0.004580948295899563
28,0.0035461700477582565,0.004034148464496765
29,0.003373976111704228,0.004830030342563987
30,0.003340375772038219,0.003803250905022853
31,0.003436535689614567,0.004506123059222268
32,0.0031745408143044685,0.0038693760945979093
33,0.0031902846469379523,0.004013302626295222
34,0.0030715757893288835,0.004269035581447598
35,0.003089217451017569,0.004128129560655604
36,0.003417770706263243,0.004097927774095701
37,0.0031411601330938875,0.006513070141275724
38,0.0030057541792299232,0.004519678467056818
39,0.0028100308029017614,0.004262008963463207
40,0.002684571756798701,0.004637250611299856
